n,muP,nuP,kappaP,dP
39,1.91491236843114,0.000192555840957541,-0.915104924272094,351.770604891366
40,1.91698987901039,0.000182942225352943,-0.91717282123574,369.881517501113
41,1.91896835063536,0.000174032548922954,-0.91914238318428,388.446993229512
42,1.92085470113739,0.000165759685963543,-0.921020460823357,407.467030941425
43,1.9226552185977,0.000158064122186463,-0.922813282719883,426.941629598409
44,1.9243756313043,0.000150893517201638,-0.924526524821505,446.870788248348
45,1.92602116926537,0.000144200953337962,-0.926165370218708,467.254506016782
46,1.92759661647699,0.000137945022102171,-0.927734561499088,488.092782098878
47,1.92910635824336,0.000132088323178251,-0.929238446566538,509.385615752772
48,1.93055442109835,0.000126597761018651,-0.930681018859371,531.133006293281
49,1.93194450953123,0.00012144321706581,-0.932065952748299,553.33495308674
50,1.93328003678198,0.000116597993434548,-0.933396634775412,575.991455545999
51,1.93456415368928,0.000112037606538816,-0.934676191295817,599.102513126394
52,1.93579977265633,0.000107740337268272,-0.9359075129936,622.668125321769
53,1.93698959056146,0.000103686109189117,-0.937093276670647,646.688291661244
54,1.93813610756173,9.98571154119402e-05,-0.938235964677138,671.163011706029
55,1.93924164548273,9.62367607589334e-05,-0.939337882243491,696.092285046882
56,1.94030836266324,9.28103422268914e-05,-0.940401173005466,721.476111301457
57,1.94133826887711,8.95640381499297e-05,-0.94142783291526,747.314490112277
58,1.94233323711998,8.64856295030885e-05,-0.942419722749483,773.607421144585
59,1.94329501501154,8.35635231625216e-05,-0.943378578534699,800.354904062367
60,1.94422523834061,8.07875022377774e-05,-0.944306025842851,827.556938596097
61,1.94512543278983,7.81477848452084e-05,-0.94520358057468,855.213524469086
62,1.945997029967,7.56357689853201e-05,-0.946072665735989,883.324661421067
63,1.94684137150954,7.32431576497439e-05,-0.946914614667194,911.890349207318
64,1.94765971604592,7.09626747690439e-05,-0.947730678720694,940.910587597152
65,1.94845324623875,6.87872263574859e-05,-0.948522033465103,970.385376372558
66,1.94922307374649,6.67106728155372e-05,-0.949289784419301,1000.31471532871
67,1.94997024521233,6.47268207449761e-05,-0.950034972033079,1030.69860427211
68,1.95069574596044,6.28305709653092e-05,-0.950758576531405,1061.53704301937
69,1.95140050568637,6.1016461013723e-05,-0.951461522147384,1092.83003139619
70,1.95446041645041,-0.00115730317976773,-0.953303113270638,1124.61619505579
71,1.95146771907147,0.0012855755564955,-0.952753294627966,1156.85203492514
72,1.95456127340644,-0.00116100855307381,-0.953400264853366,1189.54025446775
73,1.95333276761744,0.000983380942612412,-0.954316148560048,1222.68848301256
74,1.95519399210588,-0.000564318995600391,-0.954629673110282,1256.28795958458
75,1.95454734650399,0.000680659425852465,-0.955228005929843,1290.33766793726
76,1.95637833854909,-0.000567754471021349,-0.95581058407807,1324.83911790407
77,1.95570020836244,0.000678085798789859,-0.956378294161231,1359.79125597778
78,1.95750237241674,-0.000570938393535315,-0.956931434023205,1395.19555795926
79,1.9567951051352,0.000675712112913658,-0.957470817248116,1431.05093901669
80,1.95857060160576,-0.00057389882440565,-0.957996702781353,1467.35884644829
81,1.95783630390226,0.000673524586627061,-0.958509828488884,1504.11816887724
82,1.95958707792883,-0.000576654153611661,-0.959010423775215,1541.33032933545
83,1.95882767922825,0.000671493411469819,-0.959499172639723,1578.99419418646
84,1.96055548503924,-0.000579220279361147,-0.959976264759875,1617.1111659676
85,1.9597727246102,0.000669609075890004,-0.960442333686095,1655.68009202273
86,1.96147915952416,-0.000581617030672628,-0.960897542493487,1694.70235744525
87,1.96067461887969,0.000667857788515206,-0.961342476668203,1734.17679335061
88,1.96236113557447,-0.000583859337226822,-0.961777276237248,1774.10476993225
89,1.96153625603685,0.000666227309331499,-0.962202483346179,1814.48510441012
90,1.96320417855143,-0.000585960513598419,-0.962618218037828,1855.31915420754
91,1.97112746137961,-0.00379999699257989,-0.967327464387028,1896.79017952011
92,1.9550243765311,0.0083550934477819,-0.96337946997888,1938.69753828174
93,1.97197701788852,-0.00835160988919359,-0.963625407999322,1981.05251098448
94,1.95559188844763,0.00835461538876865,-0.9639465038364,2023.83603072982
95,1.97261275922625,-0.00835403058862788,-0.964258728637626,2067.06302584533
96,1.95621535068844,0.00835339427971435,-0.964568744968157,2110.71464962334
97,1.97322427018051,-0.00835515180996013,-0.964869118370554,2154.80597764364
98,1.95681754528374,0.008351072334228,-0.965168617617971,2199.31836130322
99,1.78929173861479,0.0859105975543948,-0.875202336169185,2240.06499520916
100,2.18296306545272,-0.205749117371626,-0.977213948081089,2282.06613726485
101,1.71489131472216,0.149175464904565,-0.864066779626729,2320.07282013628
102,2.09545446890987,-0.175154405333705,-0.92030006357617,2357.14582726808
103,1.77189433838859,0.140079959618194,-0.911974298006786,2392.7273512605
104,2.03502850591749,-0.151274191938771,-0.883754313978723,2426.20770509265
105,1.75823983293175,0.121699266817215,-0.879939099748963,2457.42661733592
106,1.98634568327908,-0.128165308551241,-0.858180374727834,2486.20442082673
107,1.79133499442305,0.10638194915152,-0.89771694357457,2513.83007761371
108,1.98232904431339,-0.109426067371916,-0.872902976941474,2539.92692470734
109,1.77540349786151,0.0901357812376844,-0.86553927909919,2564.29017442538
110,1.9305105062178,-0.0682602004066161,-0.862250305811182,2587.22790445154
111,1.84986639144476,0.0368041902385192,-0.886670581683284,2609.41598126777
112,1.99338352168417,-0.0616135647459601,-0.931769956938214,2632.08354816905
113,1.83987147501403,0.0763808579963104,-0.916252333010337,2654.69263070104
114,1.87670624100675,-0.0129725679871052,-0.863733673019649,2676.097562841
115,1.90196045456551,-0.0349053052664754,-0.867055149299038,2696.55877992791
116,1.95385832936142,-0.0125623766769667,-0.941295952684455,2717.77269908819
117,2.11596529367912,0.0431989604230354,-1.15916425410216,2744.47908116187
118,2.04782895206275,-0.0411356700595309,-1.00669328200322,2773.41204553412
119,1.86393528639617,0.0390207592589981,-0.902956045655169,2801.40117591916
120,1.98626240097621,-0.0392291074844455,-0.947033293491769,2829.89407665065
121,1.89205227512748,0.0356785557862975,-0.927730830913773,2858.21987139656
122,1.9068436753314,0.0118591398965726,-0.918702815227968,2886.14970244852
123,1.97285663767177,-0.0590521513152448,-0.913804486356527,2913.64496400465
124,1.94295999178418,0.0401192907789294,-0.98307928256311,2942.61794600092
125,1.98760525288551,-0.020785207495392,-0.966820045390114,2972.61721102253
126,1.94178698135694,0.0196758756624372,-0.961462857019378,3003.40217706004
127,2.12268858793809,-0.0191540427585759,-1.10353454517951,3039.49713914256
128,2.04441994388035,-0.000643913753539437,-1.04377603012681,3079.2166153165
129,2.02175256171155,0.0195187457516072,-1.04127130746316,3122.59711876561
130,2.02243654084648,-0.0409230495647825,-0.981513491281693,3167.19810470034
131,1.90465273316504,0.0583262518354643,-0.962978985000508,3212.05256959896
132,1.97967664230838,-0.0502559459565171,-0.929420696351864,3255.72091424183
133,1.87364700137791,0.0409303271608575,-0.914577328538764,3297.5326392284
134,1.9831719195156,-0.0360753930883577,-0.94709652642724,3339.11555064662
135,1.91033347137352,0.0261419693293117,-0.936475440702831,3379.96725941408
136,1.98129216571975,-0.0240391766149593,-0.957252989104793,3421.05397190749
137,1.93289787970021,0.0230213572558144,-0.955919236956024,3462.26244864292
138,1.98483140829835,-0.0219795646790775,-0.962851843619275,3503.92493784868
139,1.94261760649091,0.0225680617527555,-0.965185668243661,3546.07959293991
140,2.00576419549727,-0.0399863206150503,-0.965777874882224,3588.79739034582
141,1.93264364850324,0.0379961594145122,-0.970639807917756,3632.19362866306
142,2.03263399655649,-0.0378538138842558,-0.994780182672233,3677.39598054014
143,1.92001882943706,0.049182058157929,-0.969200887594986,3723.12615893021
